,world_region,BUChange,year,By,type
7,LatinAmerica,-92.20448324,1990-2000,A-POP,negative
8,LatinAmerica,-402.2903046,2000-2015,A-POP,negative
9,MEandNAF,-147.9146804,1975-1990,A-POP,negative
10,MEandNAF,-115.7832448,1990-2000,A-POP,negative
11,MEandNAF,-248.2350527,2000-2015,A-POP,negative
12,CanUSA,-1319.816264,1975-1990,A-POP,negative
13,CanUSA,-1030.338024,1990-2000,A-POP,negative
14,CanUSA,-2058.285022,2000-2015,A-POP,negative
15,SSAfrica,-27.31537538,1975-1990,A-POP,negative
16,SSAfrica,-68.3030782,1990-2000,A-POP,negative
17,SSAfrica,-242.2057805,2000-2015,A-POP,negative
18,SEA,-141.177184,1975-1990,A-POP,negative
19,SEA,-662.61903,1990-2000,A-POP,negative
20,SEA,-2148.527475,2000-2015,A-POP,negative
21,China,-13.36209821,1975-1990,A-POP,negative
22,China,-294.3906723,1990-2000,A-POP,negative
23,China,-2946.72217,2000-2015,A-POP,negative
24,Oceania,0,1975-1990,A-POP,negative
25,Oceania,-0.427758063,1990-2000,A-POP,negative
26,Oceania,-2.254537187,2000-2015,A-POP,negative
27,India,-22.77809518,1975-1990,A-POP,negative
28,India,-17.14331667,1990-2000,A-POP,negative
29,India,-84.93995921,2000-2015,A-POP,negative
0,Europe,-2631.07237,1975-1990,B-BPC,negative
1,Europe,-1137.455323,1990-2000,B-BPC,negative
2,Europe,-3785.038315,2000-2015,B-BPC,negative
3,RusCA,-1684.149272,1975-1990,B-BPC,negative
4,RusCA,-260.4395808,1990-2000,B-BPC,negative
5,RusCA,-1769.802198,2000-2015,B-BPC,negative
6,LatinAmerica,-2475.212773,1975-1990,B-BPC,negative
7,LatinAmerica,-1309.756834,1990-2000,B-BPC,negative
8,LatinAmerica,-4656.290399,2000-2015,B-BPC,negative
9,MEandNAF,-2331.112119,1975-1990,B-BPC,negative
10,MEandNAF,-1974.966742,1990-2000,B-BPC,negative
11,MEandNAF,-4099.133094,2000-2015,B-BPC,negative
12,CanUSA,-3430.750445,1975-1990,B-BPC,negative
13,CanUSA,-3074.452546,1990-2000,B-BPC,negative
14,CanUSA,-5569.736861,2000-2015,B-BPC,negative
15,SSAfrica,-2227.86425,1975-1990,B-BPC,negative
16,SSAfrica,-2245.591676,1990-2000,B-BPC,negative
17,SSAfrica,-6234.078069,2000-2015,B-BPC,negative
18,SEA,-4465.9273,1975-1990,B-BPC,negative
19,SEA,-1912.916005,1990-2000,B-BPC,negative
20,SEA,-4375.803157,2000-2015,B-BPC,negative
21,China,-3203.490418,1975-1990,B-BPC,negative
22,China,-1804.288269,1990-2000,B-BPC,negative
23,China,-3472.828146,2000-2015,B-BPC,negative
24,Oceania,-390.9101823,1975-1990,B-BPC,negative
25,Oceania,-230.8353597,1990-2000,B-BPC,negative
26,Oceania,-1107.527691,2000-2015,B-BPC,negative
27,India,-2395.293285,1975-1990,B-BPC,negative
28,India,-1785.883501,1990-2000,B-BPC,negative
29,India,-2361.79854,2000-2015,B-BPC,negative
