,world_region,BUChange,year,By,type
10,MEandNAF,1181.3256976759783,1990-2000,B-BPC,positive
11,MEandNAF,1036.466632540022,2000-2015,B-BPC,positive
12,CanUSA,14274.301057478762,1975-1990,B-BPC,positive
13,CanUSA,18628.089689103796,1990-2000,B-BPC,positive
14,CanUSA,13326.505692127916,2000-2015,B-BPC,positive
15,SSAfrica,1728.230300970003,1975-1990,B-BPC,positive
16,SSAfrica,2202.853239575894,1990-2000,B-BPC,positive
17,SSAfrica,1439.4448529101962,2000-2015,B-BPC,positive
18,SEA,2989.0647643637853,1975-1990,B-BPC,positive
19,SEA,7100.383503446918,1990-2000,B-BPC,positive
20,SEA,7590.426775923488,2000-2015,B-BPC,positive
21,China,22233.06432616379,1975-1990,B-BPC,positive
22,China,16384.075459767922,1990-2000,B-BPC,positive
23,China,30288.416401400744,2000-2015,B-BPC,positive
24,Oceania,617.3464932845297,1975-1990,B-BPC,positive
25,Oceania,307.2826937874655,1990-2000,B-BPC,positive
26,Oceania,111.52133661833645,2000-2015,B-BPC,positive
27,India,2438.787364595643,1975-1990,B-BPC,positive
28,India,4606.884905911107,1990-2000,B-BPC,positive
29,India,4339.356347924669,2000-2015,B-BPC,positive
0,Europe,-2198.994330760664,1975-1990,A-POP,negative
1,Europe,-3379.2492767814156,1990-2000,A-POP,negative
2,Europe,-7605.617687142733,2000-2015,A-POP,negative
3,RusCA,-263.29239582495643,1975-1990,A-POP,negative
4,RusCA,-1615.9280878598609,1990-2000,A-POP,negative
5,RusCA,-2749.6352889212694,2000-2015,A-POP,negative
6,LatinAmerica,-112.94554011690126,1975-1990,A-POP,negative
7,LatinAmerica,-127.54625947903104,1990-2000,A-POP,negative
8,LatinAmerica,-494.4795220727159,2000-2015,A-POP,negative
9,MEandNAF,-199.58867342976558,1975-1990,A-POP,negative
10,MEandNAF,-155.02102207007255,1990-2000,A-POP,negative
11,MEandNAF,-363.35499303185384,2000-2015,A-POP,negative
12,CanUSA,-1792.6863711509595,1975-1990,A-POP,negative
13,CanUSA,-1469.1071458950469,1990-2000,A-POP,negative
14,CanUSA,-2375.4336313626154,2000-2015,A-POP,negative
15,SSAfrica,-78.27030756966764,1975-1990,A-POP,negative
16,SSAfrica,-100.18115955871316,1990-2000,A-POP,negative
17,SSAfrica,-406.3143727914854,2000-2015,A-POP,negative
18,SEA,-233.71839235579904,1975-1990,A-POP,negative
19,SEA,-815.0016884562518,1990-2000,A-POP,negative
20,SEA,-2671.7087224304287,2000-2015,A-POP,negative
21,China,-22.449888969737206,1975-1990,A-POP,negative
22,China,-360.86016716738595,1990-2000,A-POP,negative
23,China,-3662.6169478626107,2000-2015,A-POP,negative
24,Oceania,-5.189088102238199,1975-1990,A-POP,negative
25,Oceania,-0.8930753609731,1990-2000,A-POP,negative
26,Oceania,-4.9755509564185,2000-2015,A-POP,negative
27,India,-33.70779540516699,1975-1990,A-POP,negative
28,India,-24.499158637932396,1990-2000,A-POP,negative
29,India,-118.6145682508443,2000-2015,A-POP,negative
0,Europe,-2076.1297239733276,1975-1990,B-BPC,negative
1,Europe,-986.6024762679046,1990-2000,B-BPC,negative
2,Europe,-3206.4942567037874,2000-2015,B-BPC,negative
3,RusCA,-1391.2754248900555,1975-1990,B-BPC,negative
4,RusCA,-238.9240305604016,1990-2000,B-BPC,negative
5,RusCA,-1524.4406515831965,2000-2015,B-BPC,negative
6,LatinAmerica,-4171.9413849098555,1975-1990,B-BPC,negative
7,LatinAmerica,-1142.2184585798518,1990-2000,B-BPC,negative
8,LatinAmerica,-3855.4003153676786,2000-2015,B-BPC,negative
9,MEandNAF,-1786.304015152324,1975-1990,B-BPC,negative
10,MEandNAF,-1566.134979947548,1990-2000,B-BPC,negative
11,MEandNAF,-3183.1830502919634,2000-2015,B-BPC,negative
12,CanUSA,-2875.2265009516414,1975-1990,B-BPC,negative
13,CanUSA,-2694.6656372751727,1990-2000,B-BPC,negative
14,CanUSA,-4637.117160232165,2000-2015,B-BPC,negative
15,SSAfrica,-1869.408253077222,1975-1990,B-BPC,negative
16,SSAfrica,-1848.1987869918792,1990-2000,B-BPC,negative
17,SSAfrica,-4860.991522028693,2000-2015,B-BPC,negative
18,SEA,-4907.702770934694,1975-1990,B-BPC,negative
19,SEA,-1587.283835859584,1990-2000,B-BPC,negative
20,SEA,-3493.534748040972,2000-2015,B-BPC,negative
21,China,-2960.0736195217983,1975-1990,B-BPC,negative
22,China,-1576.3023802917253,1990-2000,B-BPC,negative
23,China,-2877.9813136372027,2000-2015,B-BPC,negative
24,Oceania,-468.7561641576981,1975-1990,B-BPC,negative
25,Oceania,-226.79610739758627,1990-2000,B-BPC,negative
26,Oceania,-990.9488353112373,2000-2015,B-BPC,negative
27,India,-1988.715340490872,1975-1990,B-BPC,negative
28,India,-1564.4001388896959,1990-2000,B-BPC,negative
29,India,-1981.9289835872607,2000-2015,B-BPC,negative
